date,year,month,day_of_week,is_weekend,is_holiday_fr,visits_count,admissions_count,lwbs_count,avg_wait_time,avg_los_ed,beds_total,beds_occupied,icu_beds_total,icu_beds_occupied,staff_doctors_available,staff_nurses_available,staff_absence_rate,ppe_stock_index,critical_stockout,flu_level,bronchiolitis_level,covid_level,heatwave,strike,mass_casualty_event
2022-01-01,2022,1,5,1,1,89,21,5,85.6,221.9,1800,1547,120,90,22,59,0.111,85,0,0.0,0.0,0.258,0,0,0
2022-01-02,2022,1,6,1,0,80,26,2,75.2,211.8,1800,1508,120,100,33,87,0.093,84,0,0.0,0.0,0.281,0,0,0
2022-01-03,2022,1,0,0,0,93,22,4,74.8,203.8,1800,1586,120,98,41,109,0.095,87,0,0.0,0.0,0.305,0,0,0
2022-01-04,2022,1,1,0,0,88,23,1,49.9,157.5,1800,1508,120,99,40,106,0.115,87,0,0.0,0.0,0.33,0,0,0
2022-01-05,2022,1,2,0,0,70,19,1,54.4,155.5,1800,1610,120,111,40,107,0.112,86,0,0.0,0.0,0.356,0,0,0
2022-01-06,2022,1,3,0,0,71,24,2,60.7,188.1,1800,1509,120,92,40,107,0.104,74,0,0.0,0.0,0.382,0,0,0
2022-01-07,2022,1,4,0,0,80,24,3,49.7,153.2,1800,1544,120,100,42,113,0.061,85,0,0.0,0.0,0.409,0,0,0
2022-01-08,2022,1,5,1,0,84,21,5,80.0,204.1,1800,1542,120,103,33,89,0.077,84,0,0.0,0.0,0.436,0,0,0
2022-01-09,2022,1,6,1,0,86,28,2,97.3,194.7,1800,1649,120,97,33,89,0.071,85,0,0.0,0.0,0.462,0,0,0
2022-01-10,2022,1,0,0,0,91,28,2,80.2,178.3,1800,1618,120,105,40,106,0.116,74,0,0.294,0.0,0.488,0,0,0
2022-01-11,2022,1,1,0,0,92,31,2,68.1,167.5,1800,1592,120,96,40,107,0.106,73,0,0.319,0.0,0.514,0,0,0
2022-01-12,2022,1,2,0,0,86,28,6,64.6,187.3,1800,1633,120,115,42,111,0.076,84,0,0.344,0.0,0.539,0,0,0
2022-01-13,2022,1,3,0,0,80,21,4,67.3,200.3,1800,1496,120,104,40,108,0.102,73,0,0.37,0.0,0.563,0,0,0
2022-01-14,2022,1,4,0,0,88,30,1,69.0,192.1,1800,1610,120,118,42,111,0.077,75,0,0.397,0.0,0.586,0,0,0
2022-01-15,2022,1,5,1,0,93,26,3,107.3,244.5,1800,1724,120,109,32,86,0.107,76,0,0.425,0.0,0.607,0,0,0
2022-01-16,2022,1,6,1,0,87,32,1,94.3,220.8,1800,1626,120,116,33,89,0.076,70,0,0.452,0.0,0.626,0,0,0
2022-01-17,2022,1,0,0,0,100,31,1,75.4,197.4,1800,1626,120,111,40,105,0.121,68,0,0.48,0.0,0.644,0,0,0
2022-01-18,2022,1,1,0,0,87,27,2,85.0,217.3,1800,1654,120,111,40,106,0.12,82,0,0.508,0.0,0.659,0,0,0
2022-01-19,2022,1,2,0,0,89,27,2,64.6,198.6,1800,1676,120,109,38,102,0.151,80,0,0.536,0.0,0.673,0,0,0
2022-01-20,2022,1,3,0,0,83,23,4,75.9,181.9,1800,1522,120,113,39,104,0.131,80,0,0.564,0.0,0.683,0,0,0
2022-01-21,2022,1,4,0,0,85,26,2,85.5,201.0,1800,1542,120,115,40,107,0.107,69,0,0.591,0.0,0.691,0,0,0
